   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  1 2 3 4 5 6 7 8 9 0 E T   =
  14   157  1 2 3 4 5 6 7 8 9 0 E T   =
  15   169  1 2 3 4 5 6 7 8 9 0 E T   =
  16   181  1 2 3 4 5 6 7 8 9 0 E T   =
  17   193  1 2 3 4 5 6 7 8 9 0 E T   =
  18   205  1 2 3 4 5 6 7 8 9 0 E T   =
  19   217  2 1 4 3 6 5 8 7 0 9 T E   -
  20   229  2 1 4 6 3 8 5 0 7 T 9 E   23
  21   241  2 1 6 4 8 3 0 5 T 7 E 9   2
  22   253  2 6 1 4 3 8 5 0 7 T 9 E   4
  23   265  6 2 4 1 8 3 0 5 T 7 E 9   -
  24   277  6 2 1 4 8 0 3 T 5 E 7 9   25
  25   289  2 6 4 1 0 8 T 3 E 5 9 7   -
  26   301  6 2 4 0 1 8 3 T 5 E 7 9   36
  27   313  2 6 0 4 8 1 T 3 E 5 9 7   -
  28   325  2 0 6 4 1 8 T E 3 9 5 7   47
  29   337  0 2 4 6 8 1 E T 9 3 7 5   -
  30   349  2 0 6 4 8 E 1 T 3 9 5 7   58
  31   361  0 2 4 6 E 8 T 1 9 3 7 5   -
  32   373  0 4 2 E 6 8 1 T 9 7 3 5   69
  33   385  4 0 E 2 8 6 T 1 7 9 5 3   -
  34   397  0 4 2 E 6 8 T 7 1 9 3 5   70
  35   409  4 0 E 2 8 6 7 T 9 1 5 3   -
  36   421  4 E 0 8 2 7 6 T 1 9 3 5   8
  37   433  E 4 8 0 7 2 T 6 9 1 5 3   -
  38   445  4 E 0 8 2 7 6 T 9 5 1 3   9
  39   457  E 4 8 0 7 2 T 6 5 9 3 1   -
  40   469  E 8 4 7 0 T 2 5 6 9 1 3   0
  41   481  8 E 7 4 T 0 5 2 9 6 3 1   -
  42   493  E 8 4 7 0 T 2 5 6 9 3 1   E
  43   505  8 E 7 4 T 0 5 2 9 6 1 3   -
  44   517  8 7 E T 4 5 0 9 2 6 3 1   0
  45   529  7 8 T E 5 4 9 0 6 2 1 3   -
  46   541  8 7 E T 4 5 0 9 6 1 2 3   9
  47   553  7 8 T E 5 4 9 0 1 6 3 2   -
  48   565  7 T 8 5 E 9 4 0 6 1 2 3   8
  49   577  T 7 5 8 9 E 0 4 1 6 3 2   -
  50   589  7 T 8 5 E 9 0 1 4 6 2 3   70
  51   601  T 7 5 8 9 E 1 0 6 4 3 2   -
  52   613  T 5 7 9 8 E 0 1 6 3 4 2   69
  53   625  5 T 9 7 E 8 1 0 3 6 2 4   -
  54   637  T 5 7 9 E 1 8 0 6 3 4 2   58
  55   649  5 T 9 7 1 E 0 8 3 6 2 4   -
  56   661  5 9 T 7 E 1 0 3 8 2 6 4   47
  57   673  9 5 7 T 1 E 3 0 2 8 4 6   -
  58   685  5 9 7 1 T E 0 3 8 2 6 4   36
  59   697  9 5 1 7 E T 3 0 2 8 4 6   -
  60   709  9 5 7 1 E 3 T 2 0 4 8 6   25
  61   721  5 9 1 7 3 E 2 T 4 0 6 8   -
  62   733  5 1 9 7 E 3 T 2 0 4 8 6   4
  63   745  1 5 7 9 3 E 2 T 4 0 6 8   -
  64   757  5 1 7 3 9 2 E 4 T 6 0 8   3
  65   769  1 5 3 7 2 9 4 E 6 T 8 0   -
  66   781  1 5 7 3 9 2 E 4 T 6 0 8   2
  67   793  5 1 3 7 2 9 4 E 6 T 8 0   -
  68   805  1 5 3 2 7 4 9 6 E 8 T 0   3
  69   817  5 1 2 3 4 7 6 9 8 E 0 T   -
  70   829  5 2 1 3 7 4 9 6 E 8 T 0   4
  71   841  2 5 3 1 4 7 6 9 8 E 0 T   -
  72   853  2 5 1 3 4 6 7 8 9 0 E T   25
  73   865  5 2 3 1 6 4 8 7 0 9 T E   -
  74   877  2 5 3 6 1 4 7 8 9 0 E T   36
  75   889  5 2 6 3 4 1 8 7 0 9 T E   -
  76   901  5 6 2 3 1 4 8 0 7 T 9 E   47
  77   913  6 5 3 2 4 1 0 8 T 7 E 9   -
  78   925  5 6 2 3 4 0 1 8 7 T 9 E   58
  79   937  6 5 3 2 0 4 8 1 T 7 E 9   -
  80   949  6 3 5 0 2 4 1 8 T E 7 9   69
  81   961  3 6 0 5 4 2 8 1 E T 9 7   -
  82   973  6 3 5 0 2 4 8 E 1 T 7 9   70
  83   985  3 6 0 5 4 2 E 8 T 1 9 7   -
  84   997  3 0 6 4 5 E 2 8 1 T 7 9   8
  85  1009  0 3 4 6 E 5 8 2 T 1 9 7   -
  86  1021  3 0 6 4 5 E 2 8 T 9 1 7   9
  87  1033  0 3 4 6 E 5 8 2 9 T 7 1   -
  88  1045  0 4 3 E 6 8 5 9 2 T 1 7   0
  89  1057  4 0 E 3 8 6 9 5 T 2 7 1   -
  90  1069  0 4 3 E 6 8 5 9 2 T 7 1   E
  91  1081  4 0 E 3 8 6 9 5 T 2 1 7   -
  92  1093  4 E 0 8 3 9 6 T 5 2 7 1   0
  93  1105  E 4 8 0 9 3 T 6 2 5 1 7   -
  94  1117  4 E 0 8 3 9 6 T 2 1 5 7   9
  95  1129  E 4 8 0 9 3 T 6 1 2 7 5   -
  96  1141  E 8 4 9 0 T 3 6 2 1 5 7   8
  97  1153  8 E 9 4 T 0 6 3 1 2 7 5   -
  98  1165  E 8 4 9 0 T 6 1 3 2 5 7   70
  99  1177  8 E 9 4 T 0 1 6 2 3 7 5   -
 100  1189  8 9 E T 4 0 6 1 2 7 3 5   69
 101  1201  9 8 T E 0 4 1 6 7 2 5 3   -
 102  1213  8 9 E T 0 1 4 6 2 7 3 5   58
 103  1225  9 8 T E 1 0 6 4 7 2 5 3   -
 104  1237  9 T 8 E 0 1 6 7 4 5 2 3   47
 105  1249  T 9 E 8 1 0 7 6 5 4 3 2   -
 106  1261  9 T E 1 8 0 6 7 4 5 2 3   36
 107  1273  T 9 1 E 0 8 7 6 5 4 3 2   -
